code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume,report_year,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
002359,2020,2020-12-31,102369,I63,9,7,2328,54555,0.0030068728522336,0.0001649711300522,3.006872852233677,0.1649711300522408,2013920785,1014557.83,1326373.95,-0.419048,21.42334929879102,2020,23.32353137656581,0.8981151185111559,-0.102904,0.225065,0.020263,,2.3978952727983707,1.9459101490553132,0.42857142857142855,0.0,0.325251,0.0
002361,2020,2020-12-31,102531,C26,1,1,2795,56515,0.0003577817531305,1.7694417411306732e-05,0.3577817531305903,0.0176944174113067,4398439936,3730674.34,4673663.57,0.299771,22.204515755226723,2020,21.98773971651981,0.4774217941557355,0.02368,-0.100723,0.196705,1.636358,2.3978952727983707,1.9459101490553132,0.42857142857142855,1.0,0.23463699999999998,0.0
002361,2021,2021-12-31,102531,C26,0,0,2888,57659,0.0,0.0,0.0,0.0,3538806437,3670502.17,5372359.98,0.001792,21.987055342832615,2021,22.20995481262947,0.4374596576853763,0.020074,0.386213,0.28856,1.445636,2.4849066497880004,1.9459101490553132,0.42857142857142855,1.0,0.182588,0.0
002361,2022,2022-12-31,102531,C26,0,0,2348,50239,0.0,0.0,0.0,0.0,5137846554,3173757.66,3794629.53,-0.255009,22.359899870454782,2022,22.235813086652378,0.4678876204387176,0.004951,-0.028957,0.351915,1.254282,2.5649493574615367,1.9459101490553132,0.42857142857142855,1.0,0.18787500000000001,0.0
002361,2023,2023-12-31,102531,C26,0,0,2538,54451,0.0,0.0,0.0,0.0,2767981988,3126031.98,3737567.43,0.010025,21.741384367816504,2023,22.288078441999374,0.5109453142322582,0.004024,0.021785,0.28364,1.244702,2.6390573296152584,1.9459101490553132,0.42857142857142855,1.0,0.168675,0.0
002361,2024,2024-12-31,102531,C26,0,0,2553,56832,0.0,0.0,0.0,0.0,5409523468,4370480.26,5183140.58,0.412214,22.411426842561095,2024,22.20618350794692,0.48624783007918043,0.004361,-0.059685,0.176476,1.563803,2.70805020110221,2.0794415416798357,0.375,1.0,0.168675,0.0
002362,2020,2020-12-31,102532,C39,117,93,2611,54782,0.0356185369590195,0.0021357380161366,35.61853695901953,2.1357380161366875,1981466343,4371178.95,5303218.3,0.529412,21.407102985338227,2020,21.46439555185918,0.20246618689722126,0.111348,0.408012,1.496251,2.425828,2.3978952727983707,2.1972245773362196,0.3333333333333333,0.0,0.22135100000000002,0.0
002362,2021,2021-12-31,102532,C39,136,112,2604,58647,0.043010752688172,0.0023189591965488,43.01075268817205,2.318959196548843,825165117,3553351.07,4211953.55,-0.295008,20.53109406730331,2021,21.508319421199886,0.1960436460339979,0.049648,0.03736,0.881114,1.944616,2.4849066497880004,2.4849066497880004,0.3333333333333333,0.0,0.196482,0.0
002362,2022,2022-12-31,102532,C39,122,103,2668,60485,0.0386056971514242,0.0020170290154583,38.605697151424295,2.017029015458378,1914397314,3206906.11,3796380.65,-0.098665,21.372668692029247,2022,21.42607392051893,0.2170593403117977,-0.08205,-0.131874,0.790966,1.928464,2.5649493574615367,2.3978952727983707,0.36363636363636365,0.0,0.196482,0.0
002362,2023,2023-12-31,102532,C39,102,82,2216,53500,0.0370036101083032,0.0019065420560747,37.00361010830325,1.9065420560747663,5982522879,5304193.04,6262928.03,0.64971,22.51210820222758,2023,21.363186437109345,0.27226279341524173,-0.08676,0.035557,0.573629,3.17923,2.6390573296152584,2.3978952727983707,0.36363636363636365,0.0,0.196482,0.0
