code,report_year,AI_innovation,AI_risk,AI_total,AI_innovation_disclosure,AI_risk_disclosure,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE,turnover
000030,2023,6,0,6,1,0,23.555117225250036,0.4815218683287262,0.045509,0.2603,0.269977,1.020993,3.4339872044851463,2.6390573296152584,0.25,0,0.253781,1,0.237252178647827
000031,2019,4,0,4,1,0,25.933749122999657,0.7677669810687114,0.02157,1.392892,0.318673,0.963801,3.295836866004329,2.302585092994046,0.3,0,0.538005,1,
000031,2020,4,0,4,1,0,26.02093993646742,0.7716218132440744,0.005847,0.137885,0.319862,0.943292,3.332204510175204,2.3978952727983707,0.3636363636363636,0,0.492763,1,0.3807733758227215
000031,2021,2,0,2,1,0,26.08327598176009,0.7551267481944259,0.00372,0.108445,0.238531,0.925136,3.367295829986474,2.6390573296152584,0.2857142857142857,0,0.492763,1,0.2961913338704664
000031,2022,1,0,1,1,0,26.091259757472915,0.7784646950601243,-0.010407,-0.071239,0.350451,0.863303,3.4011973816621555,2.6390573296152584,0.3571428571428571,0,0.492763,1,0.4097915849005518
000032,2019,6,0,6,1,0,21.57438188355163,0.2920259091927091,0.070194,-0.06219,0.532533,2.788759,3.295836866004329,2.4849066497880004,0.25,0,0.490418,1,
000032,2020,16,0,16,1,0,21.673288308982688,0.3009582120534777,0.076695,0.013109,0.408741,3.152083,3.332204510175204,2.4849066497880004,0.3333333333333333,0,0.490418,1,0.1831945093344563
000032,2021,53,0,53,1,0,24.510410077021195,0.785054697364277,0.027637,2.032211,0.229086,1.115605,3.367295829986474,2.70805020110221,0.3333333333333333,0,0.177959,1,0.0608501183863324
000032,2022,47,0,47,1,0,24.690542148608095,0.8083662233985828,0.014448,0.195494,0.214643,1.137293,3.4011973816621555,2.1972245773362196,0.3333333333333333,0,0.178082,1,0.3063096839679948
000032,2023,86,0,86,1,0,24.757831871007212,0.7898918478089678,0.015991,0.10248,0.217254,1.122576,3.4339872044851463,2.3978952727983707,0.2727272727272727,0,0.178082,1,0.5501393243565531
