code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,report_year,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE,turnover
000011,2022,2022-12-31,101859,K70,2,2,2639,60863,0.0007578628268283,3.286068711696761e-05,0.757862826828344,0.0328606871169676,2819344333,6101851.54,6123852.91,2022,23.48329398000353,0.7171690047282078,0.034557,-0.174377,0.201139,1.126729,3.4011973816621555,2.3978952727983707,0.2727272727272727,0.0,0.505747,1.0,0.4620473498114639
000011,2023,2023-12-31,101859,K70,1,1,2831,63909,0.0003532320734722,1.5647248431363346e-05,0.3532320734722712,0.0156472484313633,1467506097,4664573.31,4681392.3,2023,23.55577670303392,0.72311585530139,0.02742,-0.20049,0.264321,1.012714,3.4339872044851463,2.302585092994046,0.3,0.0,0.505747,1.0,0.314606717371969
000011,2024,2024-12-31,101859,K70,3,3,2852,63829,0.0010518934081346,4.700057967381598e-05,1.0518934081346425,0.0470005796738159,2257272570,4601396.25,4617987.44,2024,23.45067448163139,0.7887668509718845,-0.079746,-0.077892,0.23812,1.105955,3.4657359027997265,2.302585092994046,0.4,0.0,0.50865,1.0,0.4905625265374613
000012,2020,2020-12-31,101860,C30,5,5,2111,51485,0.0023685457129322,9.711566475672526e-05,2.3685457129322596,0.0971156647567252,11541297466,14450033.13,14474564.09,2020,23.60711161901976,0.4063672535182021,0.045003,0.019025,0.556162,1.371674,3.332204510175204,2.3978952727983707,0.3636363636363636,0.0,0.151883,0.0,0.7987038757744357
000012,2021,2021-12-31,101860,C30,4,4,1983,48310,0.0020171457387796,8.279859242392879e-05,2.017145738779627,0.0827985924239287,12954394616,19431928.38,19475937.86,2021,23.71596173086191,0.4048719943381987,0.082557,0.277173,0.727292,1.531666,3.367295829986474,2.1972245773362196,0.3333333333333333,0.0,0.151883,0.0,0.6666551236023031
000012,2022,2022-12-31,101860,C30,6,6,1970,48849,0.0030456852791878,0.0001228274887919,3.045685279187817,0.1228274887919916,10562461246,13129958.58,13160477.65,2022,23.977663747547403,0.4836448258038121,0.089153,0.115171,0.61296,1.105635,3.4011973816621555,2.4849066497880004,0.4166666666666667,0.0,0.151883,0.0,0.804455031723337
000012,2023,2023-12-31,101860,C30,6,6,2184,52961,0.0027472527472527,0.0001132909121806,2.7472527472527473,0.1132909121806612,3703691229,10900302.84,10924569.37,2023,24.13645955107784,0.5212213052751647,0.054969,0.197132,0.339895,0.96309,3.4339872044851463,2.1972245773362196,0.4444444444444444,0.0,0.151883,0.0,0.3397787459086779
000012,2024,2024-12-31,101860,C30,4,4,2217,52907,0.0018042399639152,7.560436237170884e-05,1.8042399639152007,0.0756043623717088,4080977140,10344996.53,10355785.69,2024,24.164338138331033,0.5514908222389845,0.008041,-0.150563,0.33762,0.958165,3.4657359027997265,2.0794415416798357,0.375,0.0,0.151883,0.0,0.3944880143908564
000014,2020,2020-12-31,101621,K70,0,0,1799,37057,0.0,0.0,0.0,0.0,1092331980,1670118.95,1670118.95,2020,21.61267397588992,0.6080957881129544,0.004146,-0.208761,0.329706,1.294346,3.332204510175204,2.3978952727983707,0.2727272727272727,0.0,0.340167,1.0,0.6540444200097244
000014,2021,2021-12-31,101621,K70,1,1,1858,40744,0.0005382131324004,2.4543491066169253e-05,0.5382131324004306,0.0245434910661692,538111724,1597505.08,1597505.08,2021,21.654984157100863,0.6086447861746984,0.019704,0.851127,0.167509,1.237864,3.367295829986474,2.4849066497880004,0.3333333333333333,0.0,0.340167,1.0,0.3368450784519571
