code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume
000019,2024,2024-12-31,101629,F51,3,3,2713,56097,0.0011057869517139699,5.3478795657521794e-05,1.1057869517139698,0.0534787956575218,1848002559,2734541.79,7232163.85,-0.102122,21.33737119544633
000020,2020,2020-12-31,101631,C39,0,0,1633,33853,0.0,0.0,0.0,0.0,604027548,1809842.26,1809842.26,-0.06373,20.219130365786096
000020,2021,2021-12-31,101631,C39,1,1,2005,36047,0.0004987531172069825,2.7741559630482425e-05,0.4987531172069825,0.027741559630482426,360092271,1659474.98,1659474.98,-0.083083,19.70187086768346
000020,2022,2022-12-31,101631,C39,0,0,1625,33636,0.0,0.0,0.0,0.0,833721572,1617806.94,1617806.94,-0.025109,20.541410059260524
000020,2023,2023-12-31,101631,C39,0,0,1954,37719,0.0,0.0,0.0,0.0,814611254,2346091.81,2346091.81,0.450168,20.51822156968024
000020,2024,2024-12-31,101631,C39,0,0,2217,41264,0.0,0.0,0.0,0.0,2212114674,2250074.16,2250074.16,-0.040927,21.51721476148697
000021,2020,2020-12-31,101632,C39,2,2,2265,60040,0.0008830022075055188,3.331112591605596e-05,0.8830022075055187,0.033311125916055964,13385733579,27957297.49,27968640.49,0.565681,23.317455318543185
000021,2021,2021-12-31,101632,C39,14,13,2302,61615,0.005647263249348393,0.00022721739836078876,5.647263249348393,0.22721739836078877,5243329285,24710849.87,24719707.39,-0.158338,22.380222493447363
000021,2022,2022-12-31,101632,C39,12,12,2133,58613,0.005625879043600563,0.00020473273847098765,5.625879043600563,0.20473273847098766,3683579112,16676382.92,16682681.32,-0.315657,22.027150701527194
000021,2023,2023-12-31,101632,C39,11,11,2242,60227,0.004906333630686887,0.0001826423364935992,4.906333630686887,0.1826423364935992,14567090809,25287878.03,25297124.8,0.528531,23.40203076734725
000021,2024,2024-12-31,101632,C39,8,8,2128,57656,0.0037593984962406013,0.00013875398917718884,3.7593984962406015,0.13875398917718884,13503863316,29741675.97,29744799.43,0.183837,23.326241653081134
000025,2020,2020-12-31,101778,F51,0,0,2061,48806,0.0,0.0,0.0,0.0,1538302273,6637953.61,6637953.61,-0.200849,21.153945225780102
000025,2021,2021-12-31,101778,F51,0,0,2180,51208,0.0,0.0,0.0,0.0,809404146,5875963.67,5875963.67,-0.113609,20.51180891394122
000025,2022,2022-12-31,101778,F51,0,0,2233,52235,0.0,0.0,0.0,0.0,3759150598,6736148.19,6736148.19,0.148061,22.04745886430667
000025,2023,2023-12-31,101778,F51,0,0,2108,47879,0.0,0.0,0.0,0.0,1616683023,6249103.07,6249103.07,-0.070671,21.20364237111465
000025,2024,2024-12-31,101778,F51,0,0,2187,50654,0.0,0.0,0.0,0.0,2134361000,6488697.85,6488697.85,0.040289,21.48143314187322
000026,2020,2020-12-31,101779,F52,1,1,2339,49582,0.00042753313381787086,2.0168609576055828e-05,0.42753313381787084,0.02016860957605583,2524225891,4077268.09,4128217.46,0.048693,21.649200275243526
000026,2021,2021-12-31,101779,F52,1,1,2522,55272,0.0003965107057890563,1.8092343320306844e-05,0.3965107057890563,0.018092343320306844,1628559672,4241865.01,4362306.15,0.072476,21.210961824932163
000026,2022,2022-12-31,101779,F52,1,1,2320,51343,0.0004310344827586207,1.947685176168124e-05,0.43103448275862066,0.019476851761681242,1122230137,3752803.67,3838696.79,-0.093671,20.838583737095895
000026,2023,2023-12-31,101779,F52,0,0,2378,51123,0.0,0.0,0.0,0.0,1568833558,3973585.41,4003504.67,0.073755,21.17359822412705
000026,2024,2024-12-31,101779,F52,2,2,2356,49130,0.0008488964346349745,4.0708324852432325e-05,0.8488964346349746,0.04070832485243232,1195457435,3761275.25,3786948.47,-0.017336,20.90179474071566
000027,2020,2020-12-31,101655,D44,1,1,3085,79891,0.00032414910858995135,1.2517054486738181e-05,0.32414910858995133,0.01251705448673818,4288098011,28972504.59,28972504.59,0.184863,22.17910911772981
000027,2021,2021-12-31,101655,D44,1,1,2912,81220,0.00034340659340659343,1.2312238364934744e-05,0.3434065934065934,0.012312238364934744,22935741149,38534858.32,38534858.32,0.372742,23.855962279712138
