code,report_year,total_ai_sentences,innovation_sentences,risk_sentences,neutral_sentences,mixed_sentences,total_sentences_in_report,AI_Disclosure,AI_Innovation_Disclosure,AI_Risk_Disclosure,AI_Innovation_Ratio,AI_Risk_Ratio,Y_return,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
000025,2022,4,2,1,1,0,1201,0.003330557868442964,0.001665278934221482,0.0008326394671107411,0.5,0.25,0.148061,21.526176674649772,0.25797197329356203,0.039749,0.647243,0.949669,3.339651,3.4011973816621555,2.3978952727983707,0.2727272727272727,0.0,0.475107,1.0
000025,2023,3,1,1,1,0,1099,0.00272975432211101,0.0009099181073703367,0.0009099181073703367,0.3333333333333333,0.3333333333333333,-0.070671,21.60033815639584,0.27987573891603534,0.048077,1.20465,0.291825,2.92986,3.4339872044851463,2.302585092994046,0.3,0.0,0.488082,1.0
000026,2019,3,0,0,3,0,994,0.003018108651911469,0.0,0.0,0.0,0.0,,22.047930318824292,0.2941787225078041,0.058666,0.089329,0.287033,1.475902,3.295836866004329,2.1972245773362196,0.3333333333333333,0.0,0.36792,1.0
000026,2020,7,0,0,7,0,1085,0.006451612903225806,0.0,0.0,0.0,0.0,0.048693,22.11422746445892,0.30326926050110814,0.075613,0.145572,0.292097,1.418709,3.332204510175204,2.5649493574615367,0.25,0.0,0.380706,1.0
000026,2021,4,0,0,4,0,1230,0.003252032520325203,0.0,0.0,0.0,0.0,0.072476,22.136829963161606,0.26695680965778995,0.095423,0.235727,0.205047,1.401671,3.367295829986474,2.70805020110221,0.23076923076923078,0.0,0.38253,1.0
000026,2022,2,0,0,2,0,1128,0.001773049645390071,0.0,0.0,0.0,0.0,-0.093671,22.138425534670976,0.23820406592636545,0.064825,-0.169657,0.336527,1.234816,3.4011973816621555,2.1972245773362196,0.3333333333333333,0.0,0.390245,1.0
000026,2023,3,1,0,2,0,1152,0.002604166666666667,0.0008680555555555555,0.0,0.3333333333333333,0.0,0.073755,22.159364347283855,0.207041181838777,0.080077,0.049515,0.614826,1.239191,3.4339872044851463,2.302585092994046,0.3,0.0,0.39250799999999997,1.0
000027,2019,2,2,0,0,0,1527,0.001309757694826457,0.001309757694826457,0.0,1.0,0.0,,25.288780515774814,0.6505656282005732,0.020191,0.12358,0.23176,0.90672,3.295836866004329,2.302585092994046,0.3,0.0,0.47824599999999995,1.0
000027,2020,1,1,0,0,0,1658,0.0006031363088057901,0.0006031363088057901,0.0,1.0,0.0,0.184863,25.460010313478037,0.633063486664836,0.040609,-0.017414,0.396629,0.88707,3.332204510175204,2.3978952727983707,0.2727272727272727,0.0,0.439076,1.0
000027,2021,1,0,1,0,0,1755,0.0005698005698005698,0.0,0.0005698005698005698,0.0,1.0,0.372742,25.602328128288104,0.622932164968305,0.017181,0.543403,0.336658,0.915957,3.367295829986474,2.3978952727983707,0.2727272727272727,0.0,0.439076,1.0
000027,2022,9,7,2,0,0,1696,0.005306603773584905,0.004127358490566038,0.001179245283018868,0.7777777777777778,0.2222222222222222,-0.19321,25.673915494584847,0.6154734930290287,0.018101,0.188636,0.324993,0.829657,3.4011973816621555,2.4849066497880004,0.5,0.0,0.439076,1.0
000027,2023,11,9,2,0,0,1678,0.006555423122765197,0.005363528009535161,0.001191895113230036,0.8181818181818182,0.1818181818181818,0.036164,25.756702318888156,0.6362063360906031,0.018891,0.079408,0.383061,0.836162,3.4339872044851463,2.3978952727983707,0.2727272727272727,0.0,0.439076,1.0
000028,2019,2,1,0,1,0,1447,0.00138217000691085,0.000691085003455425,0.0,0.5,0.0,,24.23542628434238,0.5417792742500042,0.047532,0.206931,0.503434,1.068656,3.295836866004329,2.3978952727983707,0.36363636363636365,0.0,0.560581,1.0
000028,2020,2,2,0,0,0,1471,0.001359619306594154,0.001359619306594154,0.0,1.0,0.0,0.022928,24.401956902032744,0.573460631084026,0.04676,0.146096,0.26682,1.030471,3.332204510175204,2.5649493574615367,0.3076923076923077,0.0,0.560581,1.0
000028,2021,7,7,0,0,0,1635,0.004281345565749235,0.004281345565749235,0.0,1.0,0.0,-0.175109,24.479422615246072,0.5787596655050818,0.037088,0.145992,0.211516,0.923216,3.367295829986474,2.5649493574615367,0.3076923076923077,0.0,0.560581,1.0
000028,2022,6,4,0,2,0,1600,0.00375,0.0025,0.0,0.6666666666666666,0.0,-0.094375,24.47548998840707,0.5437202948771775,0.041493,0.074393,0.258811,0.854442,3.4011973816621555,2.3978952727983707,0.36363636363636365,0.0,0.560581,1.0
000028,2023,13,9,1,2,1,1476,0.008807588075880758,0.006097560975609756,0.0006775067750677507,0.6923076923076923,0.07692307692307693,0.170173,24.58549116119473,0.5590212800917943,0.043432,0.0277,0.239758,0.874304,3.4339872044851463,2.3978952727983707,0.36363636363636365,0.0,0.560581,1.0
000029,2019,2,1,0,1,0,935,0.00213903743315508,0.00106951871657754,0.0,0.5,0.0,,22.314472472229152,0.2820324854374511,0.113037,0.171734,1.098308,,3.295836866004329,2.302585092994046,0.3,0.0,0.635475,1.0
000030,2019,9,8,1,0,0,905,0.009944751381215469,0.008839779005524863,0.001104972375690608,0.8888888888888888,0.1111111111111111,,23.282088686767644,0.4231168720476147,0.0718,0.2816,0.302517,1.083214,3.295836866004329,2.1972245773362196,0.3333333333333333,0.0,0.24412199999999998,1.0
000030,2020,6,3,1,1,1,912,0.006578947368421052,0.003289473684210526,0.001096491228070175,0.5,0.1666666666666667,0.577731,23.394754996390695,0.4278122944577106,0.066355,0.104297,0.299118,1.33169,3.332204510175204,2.3978952727983707,0.2727272727272727,0.0,0.24412199999999998,1.0
000030,2021,13,12,0,0,1,1190,0.01092436974789916,0.01008403361344538,0.0,0.9230769230769231,0.0,0.051771,23.422001045691754,0.4272183218737048,0.053089,0.154297,0.531685,1.316651,3.367295829986474,2.302585092994046,0.3,0.0,0.24412199999999998,1.0
000030,2022,11,8,0,2,1,1072,0.01026119402985075,0.007462686567164179,0.0,0.7272727272727273,0.0,-0.366577,23.44843776641966,0.44487010399245214,0.031107,-0.020088,0.433601,0.960077,3.4011973816621555,2.302585092994046,0.3,0.0,0.24412199999999998,1.0
000030,2023,6,4,0,2,0,1074,0.00558659217877095,0.0037243947858473,0.0,0.6666666666666666,0.0,0.270455,23.555117225250036,0.48152186832872623,0.045509,0.2603,0.269977,1.020993,3.4339872044851463,2.6390573296152584,0.25,0.0,0.253781,1.0
