code,report_year,total_ai_sentences,innovation_sentences,risk_sentences,neutral_sentences,mixed_sentences,total_sentences_in_report,AI_Disclosure,AI_Innovation_Disclosure,AI_Risk_Disclosure,AI_Innovation_Ratio,AI_Risk_Ratio
000028,2023,13,9,1,2,1,1476,0.008807588075880758,0.006097560975609756,0.0006775067750677507,0.6923076923076923,0.07692307692307693
000029,2019,2,1,0,1,0,935,0.00213903743315508,0.00106951871657754,0.0,0.5,0.0
000030,2019,9,8,1,0,0,905,0.009944751381215469,0.008839779005524863,0.001104972375690608,0.8888888888888888,0.1111111111111111
000030,2020,6,3,1,1,1,912,0.006578947368421052,0.003289473684210526,0.001096491228070175,0.5,0.1666666666666667
000030,2021,13,12,0,0,1,1190,0.01092436974789916,0.01008403361344538,0.0,0.9230769230769231,0.0
000030,2022,11,8,0,2,1,1072,0.01026119402985075,0.007462686567164179,0.0,0.7272727272727273,0.0
000030,2023,6,4,0,2,0,1074,0.00558659217877095,0.0037243947858473,0.0,0.6666666666666666,0.0
000031,2019,6,4,0,2,0,1732,0.003464203233256351,0.002309468822170901,0.0,0.6666666666666666,0.0
000031,2020,6,6,0,0,0,1555,0.003858520900321543,0.003858520900321543,0.0,1.0,0.0
000031,2021,6,4,0,2,0,1494,0.004016064257028112,0.002677376171352075,0.0,0.6666666666666666,0.0
000031,2022,3,1,0,2,0,1526,0.001965923984272608,0.000655307994757536,0.0,0.3333333333333333,0.0
000031,2023,2,0,0,2,0,1339,0.001493651979088872,0.0,0.0,0.0,0.0
000032,2019,7,6,1,0,0,1341,0.005219985085756898,0.004474272930648769,0.0007457121551081282,0.8571428571428571,0.1428571428571428
000032,2020,18,17,1,0,0,1380,0.01304347826086956,0.01231884057971015,0.0007246376811594203,0.9444444444444444,0.05555555555555555
000032,2021,55,43,1,9,2,2301,0.02390265102129509,0.01868752716210343,0.000434593654932638,0.7818181818181819,0.01818181818181818
000032,2022,49,36,1,7,5,2032,0.02411417322834646,0.01771653543307087,0.0004921259842519685,0.7346938775510204,0.02040816326530612
000032,2023,91,70,2,18,1,2249,0.04046242774566474,0.03112494441974211,0.0008892841262783459,0.7692307692307693,0.02197802197802198
000034,2019,72,41,4,26,1,1546,0.04657179818887452,0.02652005174644243,0.00258732212160414,0.5694444444444444,0.05555555555555555
000034,2020,89,53,1,35,0,1579,0.05636478784040532,0.03356554781507283,0.0006333122229259025,0.5955056179775281,0.01123595505617977
000034,2021,102,54,4,44,0,1866,0.05466237942122187,0.02893890675241157,0.002143622722400857,0.5294117647058824,0.0392156862745098
000034,2022,110,53,4,51,2,2001,0.05497251374312843,0.02648675662168916,0.001999000499750125,0.4818181818181818,0.03636363636363636
000034,2023,149,81,4,61,3,2110,0.07061611374407582,0.03838862559241706,0.001895734597156398,0.5436241610738255,0.02684563758389262
000035,2019,14,5,0,9,0,2099,0.006669842782277275,0.00238208670795617,0.0,0.3571428571428572,0.0
000035,2020,10,5,0,5,0,1527,0.006548788474132285,0.003274394237066143,0.0,0.5,0.0
000035,2021,19,10,1,8,0,1626,0.01168511685116851,0.006150061500615006,0.0006150061500615006,0.5263157894736842,0.05263157894736842
000035,2022,12,11,0,1,0,1444,0.008310249307479225,0.007617728531855956,0.0,0.9166666666666666,0.0
000035,2023,12,9,0,2,1,1628,0.007371007371007371,0.005528255528255528,0.0,0.75,0.0
000036,2020,7,6,0,1,0,1127,0.006211180124223602,0.005323868677905945,0.0,0.8571428571428571,0.0
000036,2021,3,3,0,0,0,1146,0.002617801047120419,0.002617801047120419,0.0,1.0,0.0
000036,2022,2,2,0,0,0,1132,0.00176678445229682,0.00176678445229682,0.0,1.0,0.0
000036,2023,1,1,0,0,0,1231,0.0008123476848090983,0.0008123476848090983,0.0,1.0,0.0
000037,2019,1,1,0,0,0,1113,0.0008984725965858042,0.0008984725965858042,0.0,1.0,0.0
000037,2020,3,2,0,1,0,1047,0.002865329512893983,0.001910219675262655,0.0,0.6666666666666666,0.0
000037,2021,4,2,0,2,0,1029,0.003887269193391642,0.001943634596695821,0.0,0.5,0.0
000037,2022,2,0,1,1,0,1002,0.001996007984031936,0.0,0.000998003992015968,0.0,0.5
000037,2023,4,2,1,1,0,1050,0.00380952380952381,0.001904761904761905,0.0009523809523809524,0.5,0.25
000038,2019,1,1,0,0,0,1346,0.0007429420505200594,0.0007429420505200594,0.0,1.0,0.0
000038,2020,1,1,0,0,0,1258,0.000794912559618442,0.000794912559618442,0.0,1.0,0.0
000038,2021,2,1,0,0,1,1132,0.00176678445229682,0.0008833922261484099,0.0,0.5,0.0
000039,2019,50,40,2,8,0,3184,0.0157035175879397,0.01256281407035176,0.000628140703517588,0.8,0.04
000039,2020,53,45,1,7,0,3458,0.01532677848467322,0.0130133024869867,0.0002891844997108155,0.8490566037735849,0.01886792452830189
000039,2021,44,36,0,8,0,3187,0.01380608722936931,0.01129588955130217,0.0,0.8181818181818182,0.0
000039,2022,41,33,1,7,0,3102,0.01321727917472598,0.01063829787234043,0.0003223726627981947,0.8048780487804879,0.02439024390243903
000039,2023,48,35,2,11,0,3297,0.01455868971792539,0.01061571125265393,0.0006066120715802245,0.7291666666666666,0.04166666666666666
